Instrument,Account,LorS,Qty,EntryP,ExitP,EntryT,ExitT,Profit,Com
ES MAR24,Demo,Short,1,4949.75,4945.75,2024-01-30 09:41:37,2024-01-30 10:02:16,198.82,1.18
ES MAR24,Demo,Short,1,4950.75,4945.75,2024-01-30 09:45:55,2024-01-30 10:02:16,248.82,1.18
ES MAR24,Demo,Short,1,4952.5,4945.75,2024-01-30 09:51:57,2024-01-30 10:02:16,336.32,1.18
ES MAR24,Demo,Short,1,4952.25,4945.75,2024-01-30 09:55:41,2024-01-30 10:02:16,323.82,1.18
ES MAR24,Demo,Short,1,4952.25,4945.75,2024-01-30 09:55:42,2024-01-30 10:02:16,323.82,1.18
MES MAR24,Demo,Long,1,4874.25,4873.25,2024-01-31 15:50:36,2024-01-31 16:06:42,-5.18,0.18
MES MAR24,Demo,Long,1,4874.25,4873.25,2024-01-31 15:50:38,2024-01-31 16:06:42,-5.18,0.18
MES MAR24,Demo,Short,3,4890.0,4891.25,2024-02-01 09:35:57,2024-02-01 09:40:53,-19.29,0.54
MES MAR24,Demo,Short,3,4890.25,4891.25,2024-02-01 09:37:29,2024-02-01 09:40:53,-15.54,0.54
MES MAR24,Demo,Long,3,4891.0,4887.5,2024-02-01 09:40:56,2024-02-01 09:53:16,-53.04,0.54
MES MAR24,Demo,Long,3,4891.25,4887.5,2024-02-01 09:41:08,2024-02-01 09:53:16,-56.79,0.54
MES MAR24,Demo,Long,3,4891.5,4887.5,2024-02-01 09:42:50,2024-02-01 09:53:16,-60.54,0.54
MES MAR24,Demo,Long,3,4891.75,4887.5,2024-02-01 09:42:56,2024-02-01 09:53:16,-64.29,0.54
MES MAR24,Demo,Long,3,4891.75,4887.5,2024-02-01 09:45:45,2024-02-01 09:53:16,-64.29,0.54
MES MAR24,Demo,Long,3,4889.75,4887.5,2024-02-01 09:47:11,2024-02-01 09:53:16,-34.29,0.54
MES MAR24,Demo,Long,3,4890.0,4887.5,2024-02-01 09:47:14,2024-02-01 09:53:16,-38.04,0.54
MES MAR24,Demo,Long,3,4890.25,4887.5,2024-02-01 09:47:41,2024-02-01 09:53:16,-41.79,0.54
ES MAR24,Demo,Short,5,4887.75,4884.25,2024-02-01 09:53:31,2024-02-01 09:58:10,869.1,5.9
ES MAR24,Demo,Short,5,4887.0,4884.25,2024-02-01 09:54:08,2024-02-01 09:58:10,681.6,5.9
ES MAR24,Demo,Long,1,4886.5,4883.0,2024-02-01 09:59:52,2024-02-01 10:01:38,-176.18,1.18
